,SR = 0.2,SR = 0.4,SR = 0.6,SR = 0.8,SR = 1.0
4 real,0.35100001096725464,0.7379999756813049,0.7319999933242798,0.3659999966621399,0.4869999885559082
16 real,0.8799999952316284,0.8460000157356262,0.847000002861023,0.8270000219345093,0.8019999861717224
64 real,0.8569999933242798,0.8899999856948853,0.8859999775886536,0.8980000019073486,0.734000027179718
256 real,0.9089999794960022,0.8880000114440918,0.9419999718666077,0.9200000166893005,0.9079999923706055
1024 real,0.9399999976158142,0.949999988079071,0.9580000042915344,0.9079999923706055,0.9190000295639038
